name,agency_type,region,priority,procurement_platform,solicitation_url,vendor_registration_url,registration_required,procurement_contact_name,procurement_contact_email,procurement_contact_phone,technical_support_contact,local_preference,small_business_notes,recommended_codes_or_categories,automation_fit_score,scan_priority_reason,next_setup_action,research_confidence,research_source_urls,notes
OC San,Sanitation district,Orange County,high,OpenGov,https://procurement.opengov.com/portal/ocsan,https://ocsan.gov/doingbusiness/,yes,,contracts@ocsan.gov; purchasing@ocsan.gov,,support@opengov.com,,"Register at least one alternate contact; keep commodity codes and DIR registration details current.","Engineering - Instrumentation & Controls; Electrical/Electronic equipment; monitoring equipment; water/wastewater chemicals; SCADA/controls-related services",95,"SCADA-heavy wastewater agency with public works, design/A&E, goods, and services contacts published.","Register/subscribe in OC San OpenGov; add alternate email; add controls/instrumentation commodity categories; email purchasing@ocsan.gov for goods/services fit.",high,https://ocsan.gov/doingbusiness/; https://procurement.opengov.com/portal/embed/ocsan/project-list,"Prior source inventory listed PlanetBids; current official page says OpenGov. Verify portal during account setup."
Orange County Water District,Water district,Orange County,high,Agency website / direct RFP postings,https://www.ocwd.com/working-with-us/rfp-contracts/,https://www.ocwd.com/working-with-us/rfp-contracts/vendor-registration/,yes,Ashlie Valencia,procurement@ocwd.com,,,"",,"Engineering Services; Contractor Electrical; Computer Related Hardware and Software; Scientific Equipment and Supplies; Software/IT; Utilities; Waste Management and Remediation; NAICS/UNSPSC for controls/instrumentation",90,"Groundwater Replenishment System and treatment/lab operations create controls, instrumentation, LIMS, and equipment opportunities.","Complete OCWD vendor registration form; include NAICS/UNSPSC and controls/software/services categories; monitor RFP/contracts page; verify best procurement contact via procurement@ocwd.com.",high,https://www.ocwd.com/working-with-us/rfp-contracts/vendor-registration/; https://www.ocwd.com/working-with-us/rfp-contracts/rfi-for-laboratory-information-management-system-lims-rfi-25-001/; https://www.ocwd.com/wp-content/uploads/250716_FINAL_RFP-25-001_ICP-OES-Lab-Equipment.pdf,"Contact name came from recent RFP documents; use procurement@ocwd.com as general channel."
IRWD,Water district,Orange County,high,PlanetBids + IRWD pre-qualification,https://www.irwd.com/doing-business/connect,https://www.irwd.com/doing-business/new-suppliers,yes,,purchasingdept@irwd.com,(949) 453-5718,"PlanetBids support through portal",,"New suppliers complete Supplier Assessment Information Sheet, Business License, and W-9 before ePurchasing registration.","Engineering; electrical; instrumentation and controls; telemetry; SCADA support; water/wastewater treatment services; software/IT",92,"Large water district with vendor pre-qualification and PlanetBids access; strong fit for treatment, telemetry, and controls.","Submit Supplier Assessment Information Sheet, business license, and W-9 to purchasingdept@irwd.com; then register in ePurchasing/PlanetBids and join IRWD Connect.",high,https://www.irwd.com/doing-business/new-suppliers; https://www.irwd.com/doing-business/connect,"IRWD Connect also lists CommunityRelations@IRWD.com for program questions."
County of Orange / OC Public Works,County / public works,Orange County,high,OpenGov,https://procurement.opengov.com/portal/ocgov,https://opengov.com/products/procurement/suppliers/,yes,"Daisy Corona; Jennifer Mason; Albert Rodriguez",Daisy.Corona@ocpw.ocgov.com; Jennifer.Mason@ocpw.ocgov.com; albert.rodriguez@ocpw.ocgov.com,,"OpenGov Help Center",OC Local Small Business Preference; DVBE Preference,"Register in OpenGov as County supplier; OC Local Small Business and DVBE preference policies are referenced by OCPW.","UNSPSC: electrical systems/services; industrial control systems; engineering services; public works; water/sewer infrastructure; telemetry/communications",88,"County infrastructure and OC Public Works solicitations can surface electrical distribution, facilities controls, and water/sewer projects.","Register in County OpenGov; subscribe to OCPW categories; review OC Local Small Business/DVBE eligibility; monitor public works and facility electrical projects.",high,https://ocpublicworks.com/ocpw/procurement-services-design-and-construction-policy-manual; https://procurement.opengov.com/portal/ocgov,"OCPW page also references legacy BidSync award review; OpenGov is the current portal shown."
City of Irvine,City,Orange County,high,PlanetBids / Bids Online,https://vendors.planetbids.com/portal/47688/bo/bo-search,https://cityofirvine.org/economic-development/how-become-vendor-city,yes,,purchasing@cityofirvine.org,949-724-6180,"PlanetBids support through portal",5% local vendor preference,"DBE/SBE resources referenced; local vendor preference requires Irvine physical location and business license.","Category codes for consulting services; construction services general; electrical; controls; IT/software; facilities maintenance",82,"Local city procurement with 5% local preference and online bidding; opportunities include public works, facilities, utilities, and controls-adjacent work.","Register in City Bids Online/PlanetBids; add all relevant category codes; evaluate local vendor preference eligibility; contact Purchasing Team for category guidance.",high,https://cityofirvine.org/economic-development/how-become-vendor-city; https://cityofirvine.org/purchasing/procurement-faqs,"Administrative Services Department phone on FAQ is 949-724-6255; vendor page lists Purchasing Team at 949-724-6180."
City of Anaheim,City,Orange County,high,OpenGov,https://anaheim.net/6619/Bids-Requests-for-Proposals-RFPs,https://www.anaheim.net/611/Supplier-Registration,yes,Purchasing Division,purchasing@anaheim.net,714-765-5110,"OpenGov vendor portal support",1% pricing allowance for Anaheim material suppliers based on sales-tax return,"Registration requires alternate email, applicable licenses, NIGP category codes, primary contact, and Tax ID/SSN.","NIGP codes for electrical supplies/services; instrumentation; controls; SCADA; water/wastewater equipment; software/IT; facilities maintenance",80,"High-volume city procurement; formal solicitations $50k+ and OpenGov notifications by NIGP category.","Register in Anaheim OpenGov; add NIGP codes; add alternate email; confirm Anaheim business license requirements if awarded.",high,https://www.anaheim.net/611/Supplier-Registration; https://anaheim.net/599/Doing-Business,"Email decoded from official protected link; verify in portal before sending."
City of Santa Ana,City,Orange County,high,PlanetBids,https://vendors.planetbids.com/portal/20137/bo/bo-search,https://www.santa-ana.org/question/how-do-i-register-as-a-vendor-with-the-city/,yes,Shopping/Purchasing Division,Buyers@santa-ana.org,(714) 647-5489,"PlanetBids support through portal",Local Preference Program,"Purchasing Division asks vendors to schedule appointments; initial contact with departments should go through Purchasing.","PlanetBids categories for public works, water and sewer services, traffic signals, electrical, instrumentation, controls, software/IT",84,"City has water/sewer services, traffic signals, and public works bids in PlanetBids; good controls/field-services adjacency.","Register in PlanetBids portal 20137; subscribe to public works, water/sewer, traffic signal, and electrical categories; contact Buyers@santa-ana.org for vendor setup questions.",high,https://www.santa-ana.org/purchasing-and-procurement/; https://www.santa-ana.org/public-works-bids-and-proposals/; https://www.santa-ana.org/question/how-do-i-register-as-a-vendor-with-the-city/,"Public Works page confirms PlanetBids for all bids/proposals."
Santa Margarita Water District,Water district,Orange County,high,PlanetBids,https://vendors.planetbids.com/portal/75207/portal-home,https://www.smwd.com/521/Vendor-Registration-Invoices,yes,SMWD Purchasing,purchasing@smwd.com,(949) 459-6576,"PlanetBids: (818) 992-1771",,"Registration does not guarantee award; District may request insurance, qualifications, and experience details.","Water/wastewater electrical; instrumentation; monitoring; SCADA; telemetry; engineering; maintenance services",91,"South OC water district with dedicated PlanetBids portal and direct purchasing contact; strong water automation fit.","Register in PlanetBids portal 75207; contact purchasing@smwd.com for process questions; add controls/instrumentation and water/wastewater service categories.",high,https://www.smwd.com/521/Vendor-Registration-Invoices; https://smwd.com/520/Purchasing,"AP invoice contact is separate and not procurement lead."
EMWD,Water district,Inland Empire,high,Euna Procurement,https://www.emwd.org/work-with-us/vendors/vendor-registration,https://www.emwd.org/work-with-us/vendors/vendor-registration,yes,Kellie Gomez,gomezk@emwd.org,(951) 928-3777 ext. 6178,"support.procurement@eunasolutions.com",,"All formal solicitations are through Euna Procurement; vendors must keep contact/address information current.","Water/wastewater instrumentation; electrical; telemetry; SCADA; process controls; pumps/motors; software/IT; engineering services",93,"Large regional water/wastewater district with formal online bid management and strong operational controls needs.","Register in Euna Procurement; add product/service categories; contact Kellie Gomez for general questions; monitor Engineering public works and Purchasing goods/services paths.",high,https://www.emwd.org/work-with-us/vendors/vendor-registration; https://www.emwd.org/work-with-us/vendors,"Some older EMWD pages mention Bonfire/Myrna Vazquez; current official page says Euna/Kellie Gomez."
IEUA,Utilities / water agency,Inland Empire,high,PlanetBids,https://www.ieua.org/faq-items/interested-in-doing-business-with-ieua/,https://www.ieua.org/faq-items/interested-in-doing-business-with-ieua/,yes,,, ,"PlanetBids support through portal",,"IEUA uses PlanetBids for bids, RFPs, RFQs, addenda, and bid results; vendors register via Vendor Registration link.","Water/wastewater engineering; electrical; instrumentation and controls; SCADA; recycled water; treatment operations; software/IT",89,"Inland Empire utilities agency with treatment and recycled-water infrastructure; likely controls and instrumentation demand.","Open IEUA Doing Business page and PlanetBids Vendor Registration; subscribe to electrical, instrumentation/controls, and treatment categories; separately verify direct purchasing contact.",medium,https://www.ieua.org/faq-items/interested-in-doing-business-with-ieua/,"Official page did not expose a direct procurement email/phone in search output; verify before outreach."
LADWP,Utility,Los Angeles,high,eRSP + RAMPLA,https://ersp.ladwp.com,https://www.ladwp.com/doing-business-ladwp/vendors-and-bidders/electronic-request-solicit-procure-ersp-system,yes,eRSP Help Desk,ersphelp@ladwp.com,(213) 367-3777,"eRSP Help Desk: ersphelp@ladwp.com / (213) 367-3777",SBE/DBE/LBE self-certification in eRSP; cyber vendor prequalification may apply,"Vendors providing protected cyber assets/services may need CIP-013 SCRM evaluation via VendorCyberRisk@ladwp.com before/alongside eRSP registration.","Cyber assets; SCADA; protected cyber assets; serial gateways; modems; relay protection devices; IDS/IPS; electrical controls; software/IT; communications",96,"Huge water/power utility; controls, cyber, relay, SCADA, and instrumentation opportunities but setup burden is higher.","Register/reactivate in eRSP; also register in RAMPLA for listed opportunities; if bidding cyber/control assets, email VendorCyberRisk@ladwp.com for CIP-013 SCRM process.",high,https://www.ladwp.com/doing-business-ladwp/vendors-and-bidders/electronic-request-solicit-procure-ersp-system; https://www.ladwp.com/sites/default/files/2024-01/Vendor%20Online%20Bidding%207-14-23.pdf; https://www.ladwp.com/sites/default/files/2025-08/FAQ_For_CIP_013_Vendors%202025.08.05.pdf,"General page redacted one email in search output; eRSP guide gives exact help desk email/phone."
